Question,date_created,model,major,grade,prompt,temperature,top_p,count
What are the requirements for earning a bachelor's degree in Communication Disorders at UTD?,2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,3
What kind of coursework can I expect to take as a Communication Disorders major?,2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,2
Are there any research opportunities available within the Communication Disorders department at UTD?,2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,3
"What kind of clinical experience will I gain as a Communication Disorders major, and when will I start working with clients and patients?",2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,2
How do I get involved with student organizations related to Communication Disorders at UTD?,2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,3
"What resources are available for Communication Disorders students, such as tutoring or career counseling?",2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,2
Are there any fieldwork or internship opportunities available for Communication Disorders majors during their time at UTD?,2023-04-11 11:45:11.431871,gpt-3.5-turbo,Communication Disorders,freshman,Provide a list of questions that a freshman student who is Communication Disorders at University of Texas at Dallas  would create in number format,1.0,1.0,3
What is the history of criminology and how has it evolved over time?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What theories are used in criminology to explain criminal behavior?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the role of law enforcement in preventing and solving crime?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do courts and the criminal justice system work?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the relationship between crime and social inequality?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How does criminology intersect with other fields like psychology, sociology, and biology?",2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What strategies are used to prevent and reduce crime in communities?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How have technological advancements impacted the field of criminology?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some emerging issues and trends in criminology?,2023-04-11 11:45:17.378219,gpt-3.5-turbo,Criminology,freshman,Provide a list of questions that a freshman student who is Criminology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the key stages of cognitive and socioemotional development in infancy and early childhood?,2023-04-11 11:45:21.794702,gpt-3.5-turbo,Developmental Psychology,freshman,Provide a list of questions that a freshman student who is Developmental Psychology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do genetics and environmental factors contribute to the development of personality and temperament in adolescence?,2023-04-11 11:45:21.794702,gpt-3.5-turbo,Developmental Psychology,freshman,Provide a list of questions that a freshman student who is Developmental Psychology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the relationship between attachment styles and later romantic relationships in adulthood?,2023-04-11 11:45:21.794702,gpt-3.5-turbo,Developmental Psychology,freshman,Provide a list of questions that a freshman student who is Developmental Psychology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do cultural factors affect the development of gender roles and identity in different societies?,2023-04-11 11:45:21.794702,gpt-3.5-turbo,Developmental Psychology,freshman,Provide a list of questions that a freshman student who is Developmental Psychology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the neurological mechanisms involved in language acquisition and how do they evolve throughout childhood and adolescence?,2023-04-11 11:45:21.794702,gpt-3.5-turbo,Developmental Psychology,freshman,Provide a list of questions that a freshman student who is Developmental Psychology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the current understanding of the relationship between brain structure and function?,2023-04-11 11:45:26.404847,gpt-3.5-turbo,Neuroscience,freshman,Provide a list of questions that a freshman student who is Neuroscience at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do different neurotransmitters affect behavior and mental states?,2023-04-11 11:45:26.404847,gpt-3.5-turbo,Neuroscience,freshman,Provide a list of questions that a freshman student who is Neuroscience at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some of the latest breakthroughs in understanding the mechanisms of neurodegenerative diseases such as Alzheimer's disease?,2023-04-11 11:45:26.404847,gpt-3.5-turbo,Neuroscience,freshman,Provide a list of questions that a freshman student who is Neuroscience at University of Texas at Dallas  would create in number format,1.0,1.0,1
"Can psychological interventions, such as cognitive-behavioral therapy, effectively treat neurological disorders?",2023-04-11 11:45:26.404847,gpt-3.5-turbo,Neuroscience,freshman,Provide a list of questions that a freshman student who is Neuroscience at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What are some ethical implications of advances in neuroscience research, particularly when it comes to issues like brain-computer interfaces or cognitive enhancement?",2023-04-11 11:45:26.404847,gpt-3.5-turbo,Neuroscience,freshman,Provide a list of questions that a freshman student who is Neuroscience at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the history of economics as a discipline?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the core principles of microeconomics?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the core principles of macroeconomics?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do supply and demand affect markets?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the various economic systems studied in economics?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do taxes and government regulations affect the economy?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the basic models used to study economic behavior?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,2
How do economists measure GDP and other macroeconomic indicators?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do international trade and finance impact the global economy?,2023-04-11 11:45:32.264208,gpt-3.5-turbo,Economics,freshman,Provide a list of questions that a freshman student who is Economics at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What are the main software programs used in Geospatial Information Sciences, and how do they differ from each other?",2023-04-11 11:45:38.165556,gpt-3.5-turbo,Geospatial Information Sciences,freshman,Provide a list of questions that a freshman student who is Geospatial Information Sciences at University of Texas at Dallas  would create in number format,1.0,1.0,2
"How is spatial data collected in the field, and what technologies are typically used for this purpose?",2023-04-11 11:45:38.165556,gpt-3.5-turbo,Geospatial Information Sciences,freshman,Provide a list of questions that a freshman student who is Geospatial Information Sciences at University of Texas at Dallas  would create in number format,1.0,1.0,1
"Are there any particular industries or fields where Geospatial Information Sciences is especially in demand, and why?",2023-04-11 11:45:38.165556,gpt-3.5-turbo,Geospatial Information Sciences,freshman,Provide a list of questions that a freshman student who is Geospatial Information Sciences at University of Texas at Dallas  would create in number format,1.0,1.0,2
"How can Geospatial Information Sciences be used to address real-world challenges, such as climate change, urbanization, or natural disasters?",2023-04-11 11:45:38.165556,gpt-3.5-turbo,Geospatial Information Sciences,freshman,Provide a list of questions that a freshman student who is Geospatial Information Sciences at University of Texas at Dallas  would create in number format,1.0,1.0,2
"What career paths are available to graduates of the Geospatial Information Sciences program, and what types of jobs can they expect to find upon graduation?",2023-04-11 11:45:38.165556,gpt-3.5-turbo,Geospatial Information Sciences,freshman,Provide a list of questions that a freshman student who is Geospatial Information Sciences at University of Texas at Dallas  would create in number format,1.0,1.0,3
What are the key theories and concepts that underpin International Political Economy?,2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,2
How have globalization and technological advances impacted the global economy?,2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
What role do international institutions like the World Trade Organization play in regulating the global economy?,2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do different countries approach trade and economic policy, and how does this impact international relations?",2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What is the balance of power in the global economy, and how has it shifted over time?",2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do economic sanctions and trade barriers affect countries and their citizens?,2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the pros and cons of free trade agreements and economic integration between countries?,2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How does international finance impact the global economy, and what risks and opportunities does it present?",2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do labor markets and social welfare policies differ across countries, and how does this impact economic development?",2023-04-11 11:45:45.954743,gpt-3.5-turbo,International Political Economy,freshman,Provide a list of questions that a freshman student who is International Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some of the key theories and concepts used within the field of International Relations?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,2
How has globalization impacted international politics and relations between states?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some of the major debates and controversies within the field of International Relations?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,2
How do economic factors shape international relations?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the key security issues and threats facing the international community today?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,1
In what ways do international organizations such as the United Nations impact global politics?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do political systems differ across different regions and states?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,1
How have historical events such as colonialism and imperialism shaped modern international relations?,2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What are the major schools of thought within the field of International Relations, and how do they differ?",2023-04-11 11:45:52.917106,gpt-3.5-turbo,International Relations,freshman,Provide a list of questions that a freshman student who is International Relations at University of Texas at Dallas  would create in number format,1.0,1.0,2
"What core political ideologies do the major political parties in the United States represent, and how have these ideologies evolved over time?",2023-04-11 11:45:58.953055,gpt-3.5-turbo,Political Science,freshman,Provide a list of questions that a freshman student who is Political Science at University of Texas at Dallas  would create in number format,1.0,1.0,1
To what extent do the Constitution and the Bill of Rights still protect individual rights and democracy in the United States today?,2023-04-11 11:45:58.953055,gpt-3.5-turbo,Political Science,freshman,Provide a list of questions that a freshman student who is Political Science at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do different countries' government structures and processes impact their citizens, economy, and foreign relations?",2023-04-11 11:45:58.953055,gpt-3.5-turbo,Political Science,freshman,Provide a list of questions that a freshman student who is Political Science at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What is the role of international NGOs and human rights organizations in shaping global politics, and how effective are they in achieving their goals?",2023-04-11 11:45:58.953055,gpt-3.5-turbo,Political Science,freshman,Provide a list of questions that a freshman student who is Political Science at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do political factors shape the distribution of resources and public goods (such as healthcare, education, and basic infrastructure) within societies, and what policies can be used to address these inequalities?",2023-04-11 11:45:58.953055,gpt-3.5-turbo,Political Science,freshman,Provide a list of questions that a freshman student who is Political Science at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the role and function of government in society?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
How does the Texas state government differ from the federal government?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,2
What are the key challenges facing public administrators today?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do public policy decisions impact different communities and social groups?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the process for creating and implementing a public policy?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
How does public opinion influence policymaking at different levels of government?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do political institutions and systems impact public affairs and policy outcomes?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the ethical considerations in public administration and policymaking?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do economic principles affect public policy decisions?,2023-04-11 11:46:04.395430,gpt-3.5-turbo,Public Affairs,freshman,Provide a list of questions that a freshman student who is Public Affairs at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the main principles of public policy and how do they differ from political economy?,2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
How does the American electoral system affect public policy and political economy?,2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do different countries design their public policy and political economy systems? What are the key differences and similarities?,2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do economic ideology and political ideology intersect in public policy decisions?,2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the key ethical considerations that policymakers should take into account when designing public policy?,2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
How can data and empirical research be used to inform public policy decisions and drive evidence-based policymaking?,2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do global trends and events, such as climate change or economic globalization, impact public policy and political economy on a local and national level?",2023-04-11 11:46:10.846078,gpt-3.5-turbo,Public Policy and Political Economy,freshman,Provide a list of questions that a freshman student who is Public Policy and Political Economy at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the importance of sociology as a field of study?,2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,2
What are the key concepts and theories in sociology?,2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do sociologists conduct research and analyze data?,2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the relationship between social structure and individual behavior?,2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some of the major social issues that sociologists study?,2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,2
"How do race, gender, and class intersect in society and impact people's lives?",2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How have social institutions, such as family, education, and religion, evolved over time?",2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What are some of the challenges facing contemporary society, and how can sociology help address them?",2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do globalization and technology impact social relations and cultural values?,2023-04-11 11:46:16.993420,gpt-3.5-turbo,Sociology,freshman,Provide a list of questions that a freshman student who is Sociology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the core courses required to complete the Actuarial Science major at UTD?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,3
How can I become involved in the Actuarial Science organization or community at UTD?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,3
Are there any research opportunities available for Actuarial Science students?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,2
What type of internships are available for Actuarial Science students in the Dallas area?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,3
"How can I prepare for the preliminary actuarial exams, and what resources are available?",2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,1
Are there any scholarship opportunities available specifically for Actuarial Science students at UTD?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,3
"What are some career paths that are common for Actuarial Science graduates, and what companies typically hire them?",2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,3
Are there any study abroad programs or opportunities that are relevant for Actuarial Science students?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,4
How does UTD's Actuarial Science program compare to other top programs in the country?,2023-04-11 11:46:23.911441,gpt-3.5-turbo,Actuarial Science,freshman,Provide a list of questions that a freshman student who is Actuarial Science at University of Texas at Dallas  would create in number format,1.0,1.0,3
What are the prerequisites for upper-level math courses in Applied Mathematics?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,3
What are the career paths for someone with a degree in Applied Mathematics?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,3
How can I get involved in undergraduate research in Applied Mathematics?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,5
What software or programming languages are commonly used in Applied Mathematics?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,3
Are there any math clubs or organizations on campus for Applied Mathematics students?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,3
What kind of internships or co-op opportunities are available for Applied Mathematics students?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,3
How can I strengthen my understanding of calculus and linear algebra?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some common misconceptions about Applied Mathematics?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,3
How can I effectively study for math exams?,2023-04-11 11:46:30.610557,gpt-3.5-turbo,Applied Mathematics,freshman,Provide a list of questions that a freshman student who is Applied Mathematics at University of Texas at Dallas  would create in number format,1.0,1.0,2
"What are the major subfields of biology, and how do they relate to one another?",2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the difference between prokaryotic and eukaryotic cells?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do organisms sense and respond to changes in their environment?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What is the role of DNA in inheritance and evolution?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some common mechanisms of genetic variation and how do they contribute to species diversity?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do species interactions, such as predation and competition, impact population dynamics?",2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do cellular processes like photosynthesis and cellular respiration contribute to energy flow in ecosystems?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
How do biotic and abiotic factors interact to shape community structure?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are some major challenges facing conservation biology and how can we address them?,2023-04-11 11:46:37.976838,gpt-3.5-turbo,Biology,freshman,Provide a list of questions that a freshman student who is Biology at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the fundamental concepts of chemistry and why are they important?,2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do chemical reactions occur, and how can they be predicted and analyzed?",2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What is the relationship between molecular structure and chemical properties, and how can molecular structure be analyzed and determined?",2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What are the major classes of organic and inorganic compounds, and what are their properties, structures, and applications?",2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
What are the properties of the elements and how do they relate to the periodic table?,2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
"What are the principles underlying thermodynamics, kinetics, and equilibrium in chemical systems, and how can they be applied to real-world situations?",2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
"How do advances in chemistry lead to new technologies and products, and what are the ethical and societal implications of these developments?",2023-04-11 11:46:47.418901,gpt-3.5-turbo,Chemistry,freshman,Provide a list of questions that a freshman student who is Chemistry at University of Texas at Dallas  would create in number format,1.0,1.0,1
